	HB.var_c
5.19999999999999751E0	10	2.48097854238305704E10

var_c	harmindex	freq[31, ::]
5.29999999999999716E0	0	0.00000000000000000E0
5.29999999999999716E0	1	2.48045540018835187E9
5.29999999999999716E0	2	4.96091080037670373E9
5.29999999999999716E0	3	7.44136620056505471E9
5.29999999999999716E0	4	9.92182160075340747E9
5.29999999999999716E0	5	1.24022770009417593E10
5.29999999999999716E0	6	1.48827324011301099E10
5.29999999999999716E0	7	1.73631878013184560E10
5.29999999999999716E0	8	1.98436432015068154E10
5.29999999999999716E0	9	2.23240986016951615E10
5.29999999999999716E0	10	2.48045540018835187E10

var_c	harmindex	freq[32, ::]
5.39999999999999680E0	0	0.00000000000000000E0
5.39999999999999680E0	1	2.47995085291996853E9
5.39999999999999680E0	2	4.95990170583993706E9
5.39999999999999680E0	3	7.43985255875990514E9
5.39999999999999680E0	4	9.91980341167987412E9
5.39999999999999680E0	5	1.23997542645998426E10
5.39999999999999680E0	6	1.48797051175198103E10
5.39999999999999680E0	7	1.73596559704397757E10
5.39999999999999680E0	8	1.98396068233597478E10
5.39999999999999680E0	9	2.23195576762797199E10
5.39999999999999680E0	10	2.47995085291996853E10

var_c	harmindex	freq[33, ::]
5.49999999999999645E0	0	0.00000000000000000E0
5.49999999999999645E0	1	2.47946392654869374E9
5.49999999999999645E0	2	4.95892785309738748E9
5.49999999999999645E0	3	7.43839177964608034E9
5.49999999999999645E0	4	9.91785570619477497E9
5.49999999999999645E0	5	1.23973196327434687E10
5.49999999999999645E0	6	1.48767835592921616E10
5.49999999999999645E0	7	1.73562474858408544E10
5.49999999999999645E0	8	1.98357114123895495E10
5.49999999999999645E0	9	2.23151753389382446E10
5.49999999999999645E0	10	2.47946392654869374E10

var_c	harmindex	freq[34, ::]
5.59999999999999609E0	0	0.00000000000000000E0
5.59999999999999609E0	1	2.47899371390065504E9
5.59999999999999609E0	2	4.95798742780131008E9
5.59999999999999609E0	3	7.43698114170196600E9
5.59999999999999609E0	4	9.91597485560262015E9
5.59999999999999609E0	5	1.23949685695032752E10
5.59999999999999609E0	6	1.48739622834039320E10
5.59999999999999609E0	7	1.73529559973045910E10
5.59999999999999609E0	8	1.98319497112052412E10
5.59999999999999609E0	9	2.23109434251058936E10
5.59999999999999609E0	10	2.47899371390065504E10

var_c	harmindex	freq[35, ::]
5.69999999999999574E0	0	0.00000000000000000E0
5.69999999999999574E0	1	2.47853936901851046E9
5.69999999999999574E0	2	4.95707873803702093E9
5.69999999999999574E0	3	7.43561810705553050E9
5.69999999999999574E0	4	9.91415747607404185E9
5.69999999999999574E0	5	1.23926968450925501E10
5.69999999999999574E0	6	1.48712362141110610E10
5.69999999999999574E0	7	1.73497755831295697E10
5.69999999999999574E0	8	1.98283149521480828E10
5.69999999999999574E0	9	2.23068543211665915E10
5.69999999999999574E0	10	2.47853936901851002E10

var_c	harmindex	freq[36, ::]
5.79999999999999538E0	0	0.00000000000000000E0
5.79999999999999538E0	1	2.47810010208380005E9
5.79999999999999538E0	2	4.95620020416760010E9
5.79999999999999538E0	3	7.43430030625140148E9
5.79999999999999538E0	4	9.91240040833520020E9
5.79999999999999538E0	5	1.23905005104190002E10
5.79999999999999538E0	6	1.48686006125028025E10
5.79999999999999538E0	7	1.73467007145866114E10
5.79999999999999538E0	8	1.98248008166704004E10
5.79999999999999538E0	9	2.23029009187542027E10
5.79999999999999538E0	10	2.47810010208380005E10

var_c	harmindex	freq[37, ::]
5.89999999999999503E0	0	0.00000000000000000E0
5.89999999999999503E0	1	2.47767517483644539E9
5.89999999999999503E0	2	4.95535034967289079E9
5.89999999999999503E0	3	7.43302552450933707E9
5.89999999999999503E0	4	9.91070069934578157E9
5.89999999999999503E0	5	1.23883758741822270E10
5.89999999999999503E0	6	1.48660510490186737E10
5.89999999999999503E0	7	1.73437262238551204E10
5.89999999999999503E0	8	1.98214013986915627E10
5.89999999999999503E0	9	2.22990765735280139E10
5.89999999999999503E0	10	2.47767517483644539E10

var_c	harmindex	freq[38, ::]
5.99999999999999467E0	0	0.00000000000000000E0
5.99999999999999467E0	1	2.47726389643549894E9
5.99999999999999467E0	2	4.95452779287099787E9
5.99999999999999467E0	3	7.43179168930649769E9
5.99999999999999467E0	4	9.90905558574199574E9
5.99999999999999467E0	5	1.23863194821774947E10
5.99999999999999467E0	6	1.48635833786129945E10
5.99999999999999467E0	7	1.73408472750485032E10
5.99999999999999467E0	8	1.98181111714839919E10
5.99999999999999467E0	9	2.22953750679194940E10
5.99999999999999467E0	10	2.47726389643549894E10

var_c	harmindex	freq[39, ::]
6.09999999999999432E0	0	0.00000000000000000E0
6.09999999999999432E0	1	2.47686561971233976E9
6.09999999999999432E0	2	4.95373123942467952E9
6.09999999999999432E0	3	7.43059685913702062E9
6.09999999999999432E0	4	9.90746247884935904E9
6.09999999999999432E0	5	1.23843280985616988E10
6.09999999999999432E0	6	1.48611937182740417E10
6.09999999999999432E0	7	1.73380593379863801E10
6.09999999999999432E0	8	1.98149249576987185E10
6.09999999999999432E0	9	2.22917905774110592E10
6.09999999999999432E0	10	2.47686561971233976E10

